id,longitude,latitude
936,-118.31613,33.83534
937,-119.24743,34.20687
942,-117.64852,34.09582
943,-117.16088,32.71668
945,-122.04154,38.24248
946,-117.98723,33.648
947,-119.64526,36.85549
948,-120.02062,36.97446
949,-119.51786,34.39834
951,-117.12981,32.75239
952,-117.237,34.0706
954,-121.30041,38.25328
955,-117.23519,32.87093
956,-118.19248,33.7678
958,-122.13781,38.0178
960,-123.19957,39.12629
962,-122.26837,37.81436
964,-117.26956,33.1339
969,-121.49743,38.58005
970,-122.71166,38.44181
971,-122.70944,38.42166
972,-119.77152,36.73947
973,-121.48493,38.57795
974,-122.42991,37.46094
976,-117.16374,32.88044
978,-118.43221,34.28288
981,-118.28427,33.73864
983,-120.85987,37.4799
984,-119.75267,34.4405
985,-121.87387,37.31635
990,-121.94057,36.98229
993,-118.33929,33.84315
996,-124.20006,41.74905
997,-117.08203,32.99489
998,-119.8581,36.93416
1000,-122.72362,38.40423
1001,-119.80196,36.75774
1004,-122.71547,38.43709
1006,-122.03085,36.986
1008,-119.96987,38.94473
1009,-121.80988,39.72576
1010,-122.28288,38.29617
1013,-124.10039,40.92606
1015,-120.66404,35.2793
1018,-118.31802,33.84677
1019,-119.44388,34.39421
1021,-120.3617,38.24239
1022,-122.46607,37.7635
1023,-117.14636,32.83381
1025,-120.82196,38.69328
1027,-120.14487,34.59615
1028,-120.45745,34.64198
1029,-122.45998,38.29204
1030,-122.47779,38.29451
1031,-117.55975,33.92779
1032,-121.97468,37.22661
1033,-121.85417,37.33317
1034,-119.6618,37.33173
1035,-120.0075,38.9118
1036,-117.13007,32.7471
1037,-122.41399,37.76013
1038,-122.41953,37.76344
1039,-122.38086,37.73855
1041,-122.28608,38.30488
1044,-117.24795,33.59345
1046,-122.4196,37.76838
1047,-116.86751,33.03538
1050,-122.52866,37.97327
1052,-118.13392,33.82508
1054,-122.71726,38.45922
1055,-122.34626,37.57997
1056,-117.82008,33.86331
1057,-117.11565,33.10997
1059,-117.21157,32.74052
1060,-117.50462,33.81318
1061,-117.56644,33.87529
1062,-117.16277,32.71742
1063,-118.32404,33.84148
1065,-117.64125,34.06156
1066,-117.21948,33.1042
1067,-122.9838,38.51321
1068,-121.72608,38.54661
1069,-122.42839,37.79807
1070,-118.79623,34.14489
1071,-122.48236,37.75383
1072,-121.78755,38.55364
1074,-118.38318,33.91259
1075,-121.61491,39.13723
1076,-122.27136,37.80446
1077,-119.67616,36.79133
1078,-120.14166,39.17069
1081,-121.0695,38.89957
1083,-121.94602,37.34815
1084,-117.82617,33.74585
1085,-117.90184,33.91716
1086,-117.50885,33.81408
1087,-118.91059,34.17143
1088,-122.28976,38.2972
1089,-119.51846,34.39888
1090,-119.68817,34.42286
1091,-119.04307,35.3886
1092,-122.2645,37.83036
1093,-118.18068,33.80437
1094,-117.16277,32.71742
1095,-120.66767,35.48773
1096,-117.07635,32.59726
1097,-117.82497,33.89011
1098,-124.17431,40.80227
1099,-119.69542,34.41246
1101,-121.38785,38.0972
1102,-117.27244,32.84869
1103,-120.57766,38.74971
1104,-117.86996,33.74808
1106,-122.29144,37.85762
1107,-122.27302,38.2171
1108,-118.32733,34.04788
1109,-120.65962,35.28275
1110,-122.71322,38.43983
1112,-122.39951,37.78554
1114,-117.14774,32.70217
1115,-117.12538,32.73934
1116,-117.08011,32.64283
1117,-121.01747,39.263
1118,-121.73912,38.54404
1123,-117.13747,32.89575
1124,-122.08064,37.39461
1125,-121.36115,38.38805
1127,-119.78831,36.73072
1128,-117.22397,33.13599
1129,-119.29944,34.27816
1130,-122.40388,37.79053
1131,-120.68726,35.62625
1132,-118.35504,33.96185
1133,-121.4944,38.58157
1135,-122.40367,37.7913
1137,-121.49088,38.65437
1138,-122.28218,38.30073
1140,-122.56812,38.1062
1141,-119.18038,34.19763
1143,-122.26875,37.87342
1144,-122.38844,37.76116
1146,-122.30303,37.87687
1148,-122.02972,36.9742
1149,-122.47505,37.76308
1151,-122.62637,38.95823
1152,-123.20764,39.14946
1154,-120.64203,35.24934
1157,-121.88564,37.32939
1158,-121.49459,38.5658
1159,-117.15863,33.13568
1161,-118.48027,33.99463
1162,-118.46689,33.99504
1163,-119.29456,34.27988
1164,-118.31037,34.17375
1168,-117.24188,33.20282
1169,-118.80952,34.16154
1170,-117.12144,32.89584
1171,-121.90875,37.33159
1174,-117.14575,33.14015
1175,-122.29818,40.56201
1176,-118.22204,34.06852
1177,-118.58079,34.45556
1178,-122.8211,38.40331
1179,-122.02972,36.9742
1180,-122.27043,37.80696
1181,-122.27043,37.80696
1182,-122.42854,37.76116
1183,-122.39534,40.58595
1186,-122.68836,38.44972
1187,-121.54196,38.56943
1188,-118.31635,33.8372
1189,-119.69066,36.8261
1190,-118.35247,33.86354
1191,-104.98537,39.75925
1192,-104.86672,39.38269
1193,-105.13198,39.97824
1194,-104.98396,39.76141
1195,-104.94267,39.56596
1199,-107.92578,38.90061
1200,-105.11006,39.63111
1202,-105.10595,39.53839
1203,-104.9847,39.73914
1206,-104.98761,39.68866
1208,-106.07646,39.63307
1209,-105.00197,40.61818
1210,-107.87699,37.27997
1212,-106.85977,39.22153
1213,-105.05423,40.04884
1215,-107.66479,37.80989
1217,-105.20477,40.06258
1219,-104.98742,39.72829
1221,-105.32146,39.63616
1222,-105.22021,39.75621
1223,-104.94179,39.92856
1226,-104.98381,39.76301
1227,-105.05195,38.99414
1229,-104.82243,39.98643
1230,-105.07467,40.40811
1231,-105.25851,40.02916
1232,-104.9847,39.73914
1234,-105.27055,40.01499
1236,-104.9872,39.69336
1237,-104.97296,39.76981
1238,-104.99832,39.72394
1239,-104.97694,39.77356
1243,-106.82826,39.65532
1245,-105.10628,40.16141
1246,-105.16916,40.09681
1247,-107.59907,37.22513
1248,-105.24802,40.02644
1249,-105.28044,40.01686
1250,-104.81897,38.83261
1252,-106.04457,39.4762
1253,-107.88315,37.27036
1267,-105.0818,39.77573
1270,-104.8274,38.81086
1271,-104.69114,40.42495
1274,-105.22933,40.01415
1277,-105.09257,40.40589
1278,-104.94885,39.71167
1279,-105.00241,39.78252
1282,-106.85776,40.51089
1284,-104.98872,39.56212
1285,-105.00409,39.91376
1286,-105.04354,39.77885
1289,-107.21349,39.40061
1290,-107.88004,37.27484
1294,-104.83741,38.83306
1295,-104.94518,39.73968
1296,-105.00163,39.69879
1299,-105.08095,40.30505
1303,-104.75566,38.8796
1304,-107.87737,38.47888
1305,-107.75777,38.15236
1306,-105.98559,37.40026
1307,-104.8084,38.99104
1309,-105.09164,39.76935
1311,-105.07552,40.58738
1312,-108.73149,39.15916
1314,-104.7875,40.3899
1315,-105.00029,39.72361
1318,-105.07351,40.39536
1319,-105.11978,39.96488
1324,-104.99101,39.67973
1326,-105.00725,39.75831
1327,-105.00083,39.77694
1328,-105.08146,39.80162
1329,-105.04382,39.77606
1330,-105.00321,39.77033
1331,-106.06031,39.6276
1333,-104.50054,37.1694
1334,-108.50456,37.47323
1336,-104.98749,39.68301
1337,-105.51243,39.80014
1340,-104.7724,39.75804
1341,-104.76801,39.65294
1342,-104.70343,38.88777
1343,-107.87198,37.29765
1344,-105.04777,40.05043
1345,-104.9442,40.11145
1346,-106.13161,38.84025
1347,-108.55751,39.05566
1349,-106.06594,38.51804
1350,-106.98617,38.86985
1351,-105.13411,40.01443
1352,-104.98134,39.76323
1353,-105.07571,40.58633
1354,-105.52613,40.37149
1356,-105.00207,39.7702
1357,-105.24548,40.01498
1358,-104.94286,39.67843
1359,-104.82373,38.82601
1361,-104.88542,39.74022
1363,-104.8221,39.98457
1364,-105.11778,38.38992
1370,-107.32342,39.54766
1372,-104.82355,38.81957
1373,-107.66423,37.81194
1374,-105.22278,39.75471
1375,-105.03435,39.78689
1376,-104.98982,39.68421
1378,-106.59532,39.64367
1379,-106.39257,40.05998
1380,-105.08246,39.79927
1381,-104.98727,39.74351
