id,name,brewery_type
327,Asylum Brewing,micro
328,At Ease Brewing,planning
329,Auburn Alehouse,brewpub
330,Automatic Brewing Co. / Blind Lady Alehouse,brewpub
331,Aztec Brewing Company,micro
332,Babe's Bar-B-Que and Brewhouse,brewpub
333,Back Street Brewery & Tasting Room,micro
334,Bagby Beer Company,brewpub
335,Ballast Point Brewing Co / Home Brew Mart,large
336,Ballast Point Brewing Company,large
337,Ballast Point Brewing Company,large
338,Ballast Point Brewing Company,large
339,Ballast Point Brewing Company,planning
340,Ballast Point Brewing Company - Little Italy,large
341,Bang the Drum Brewery,micro
342,Barebottle Brewing Company,micro
343,Barley Forge Brewing,micro
344,Barn Brewery,micro
345,Barrel Brothers Brewing Company,micro
346,"Barrel Brothers Brewing Company, LLC",micro
347,Barrel Harbor Brewing Co.,micro
348,Barrel Head Brewhouse,brewpub
349,Barrelhouse Brewing,micro
350,Bartlett Hall,brewpub
351,Battlemage Brewing Co,micro
352,Bay Bridge Brewing Co,micro
353,Bay City Brewing Co.,micro
354,Beach Chalet Brewing Co,brewpub
355,Beach Grease Beer Company,micro
356,Beachwood BBQ & Brewing,brewpub
357,Beachwood Blendery,micro
358,Beachwood Brewing,micro
359,Bear Republic Brewing Co,regional
360,Bear Republic Brewing Co - Production facility,regional
361,Bear Republic Brewing Co Pub & Restaurant - Lakeside,brewpub
362,Bear Roots Brewing Company,micro
363,Belching Beaver Brewery,regional
364,Belching Beaver Brewery Tavern & Grill,brewpub
365,Belching Beaver Brewery Vista,micro
366,Belmont Brewing Co,brewpub
367,Benchmark Brewing Co,micro
368,Benoit-Casper Brewing,micro
369,Berryessa Brewing Co,micro
370,Berts Brewing Co.,planning
371,Big Bear Lake Brewing Co,brewpub
372,Big Bear Mountain Brewery,brewpub
373,Big Sexy Brewing Company,micro
374,Big Stump Brewing Company,micro
375,Bike Dog Brewing Co,micro
376,Bird Street Brewing,micro
377,Bison Brewing Co,contract
378,Bitter Brothers Brewing Co.,micro
379,"Bittersweet Brewing Company, LLC",micro
380,BJs Restaurant & Brewery - Brea,brewpub
381,BJs Restaurant & Brewery - West Covina,brewpub
382,Black Cock Brewing Company,micro
383,Black Doubt Brewing Company,micro
384,Black Gold Brewing Co,brewpub
385,Black Hammer Brewing,micro
386,Black Magic Brewing,planning
387,Black Market Brewing Co,brewpub
388,Black Plague Brewing,micro
389,Black Sands Brewery,micro
390,Blaker Brewing,micro
391,Blue Frog Brewing Company,micro
392,Blue Note Brewing Company,micro
393,Blue Oak Brewing Co,micro
394,Bluebird Brasserie,brewpub
395,BNS Brewing & Distilling Co.,micro
396,Bolt Brewery,brewpub
397,Bonaventure Brewing Co,brewpub
398,Boomtown Brewery,micro
399,Bootleggers Brewery,micro
400,Bootleggers Brewery,micro
401,Booze Brothers Brewing Co.,brewpub
402,Border X,planning
403,Border X Brewing,micro
404,Border X Logan,brewpub
405,Bottle Logic Brewing,micro
406,Bravery Brewing,micro
407,Breakwater Brewing Co,brewpub
408,Brew Rebellion,micro
409,Brew Rebellion,micro
410,Brewbakers Brewing Co,brewpub
411,Brewcaipa Brewing Co.,micro
412,Brewery At Abigaile,brewpub
413,Brewery At Lake Tahoe,brewpub
414,Brewery At Simmzys Burbank,brewpub
415,Brewery Draconum,micro
416,Brewery in Planning - Appleton,planning
417,Brewery in Planning - Calistoga,planning
418,"Brewery in Planning - Camarillo, CA",planning
419,Brewery in Planning - Claremont,planning
420,Brewery In Planning - Claremont,planning
421,Brewery in Planning - Culver City,planning
422,Brewery In Planning - Daly City,planning
423,Brewery In Planning - Elk Grove,planning
424,Brewery In Planning - FPO,planning
425,Brewery in Planning - Los Angeles,planning
426,Brewery in Planning - Los Gatos,planning
427,Brewery in Planning - Montclair,planning
428,Brewery in Planning - Oakland,planning
429,Brewery in Planning - Rancho Cucamonga,planning
430,Brewery in Planning - San Diego,planning
431,Brewery in Planning - Sherman Oaks,planning
432,Brewery in Planning - Stevenson Ranch,planning
433,Brewery In Planning - Vacaville,planning
434,Brewery in Planning - Ventura,planning
435,Brewery In Planning- Mission Viejo,planning
436,Brewery Rex,proprietor
437,Brewery Twenty Five,micro
438,Brewheim Brewing Company,planning
439,Brewjeria Company,planning
440,BrewLAB,micro
441,Brewtality,contract
442,Brewyard Beer Company LLC,micro
443,Bridal Veil Brewing,micro
444,British Bulldog Brewery,micro
445,Brouwerij West,micro
446,Bruehol Brewing LLC,proprietor
447,Bruery Terreux,micro
448,"Bruery, The",micro
449,Buffalo Bills Brewery,brewpub
450,Burgeon Beer Company,micro
451,Burnin Daylight Brewing Company,planning
452,Burning Beard Brewing,micro
453,Calicraft Brewing Co,micro
454,California Cider Co.,planning
455,California Wild Ales,contract
456,Camino Brewing Co LLC,micro
457,Campbell Brewing Co,micro
458,Can Of Worms Brewing,planning
459,Canyon Club Brewery,planning
460,Canyon Lakes Golf Course & Brewery,brewpub
461,Captain Fatty's,micro
462,Carmel Valley Brewing Company,micro
463,Casa Agria Specialty Ales,proprietor
464,Catalina Island Brew House,micro
465,Cayucos Brewing Co,contract
466,Cebula Craft Brewing LLC dba GameCraft Brewing,planning
467,Cedar Crest Brewing and Wine Bar,brewpub
468,Cellador Ales,micro
469,Cellarmaker Brewing Company,micro
470,Central Coast Brewing Co - Higuera St.,brewpub
471,Central Coast Brewing Co - Monterey St.,micro
472,Cerveceria Del Pueblo,planning
473,Channel Brewing Co.,micro
474,Chapman Crafted Beer,micro
475,Chau Tien Beer Company,contract
476,Chihuahua Brewing Co.,micro
477,Chino Valley Brewery,micro
478,ChuckAlek Independent Brewers,brewpub
479,Chula Vista Brewery,micro
480,Circle 9 Brewing,micro
481,Cismontane Brewing Co,micro
482,Citizen Brewers,micro
483,Claimstake Brewing Company,micro
484,Clandestine Brewing,micro
485,Claremont Craft Ales,micro
486,Clayton Brewing Co,contract
487,Cleophus Quealy Beer Company,micro
488,Climber Nine Brewing,planning
489,Cloverdale Ale Company's Ruth McGowan's Brewpub,brewpub
490,Coachella Valley Brewing Co,micro
