id,name,brewery_type
3587,Lake Superior Brewing Co,brewpub
3588,Lansing Brewing Company,brewpub
3589,Latitude 42,brewpub
3590,Lehmans Orchard Brewery and Farmhouse,brewpub
3591,Les Cheneaux Distillers,brewpub
3592,Lexington Brewing Co,brewpub
3593,Liberty Street Brewing Co,micro
3594,Liberty Street Brewing Production Facility,micro
3595,"Library Restaurant, Bar and Brewpub",brewpub
3596,Lilys Seafood Restaurant and Brewery,brewpub
3597,Lockside Brewery / 1668 Winery,brewpub
3598,Loggers Brewing Company,micro
3599,Looking Glass Brewing Company,brewpub
3600,Lucky Girl Brewing Co Crossroads,brewpub
3601,Ludington Bay Brewing Co,brewpub
3602,Lumber Barons Brewery,brewpub
3603,Lynchpin Beer Company / The Laundry,brewpub
3604,Macatawa Ale Company,micro
3605,Mackinaw Brewing Co,brewpub
3606,Mackinaw Trail Brewing Company / Mackinaw Trail Winery and Brewery,micro
3607,McIntosh Orchards,micro
3608,MDs Sports Tavern and Grill,brewpub
3609,MI Brewery / Kayla Rae Cellars,micro
3610,Michigan Brewing Works,brewpub
3611,Midland Brewing Co,brewpub
3612,Midtown Brewing Co,micro
3613,Mishigama Craft Brewing / Ypsi Alehouse,brewpub
3614,Mitten Brewing Co - Northport,brewpub
3615,Motor City Brewing Works,brewpub
3616,Motor City Brewing Works Warehouse,micro
3617,Mountain Town Brewing Co,micro
3618,Mountain Town Station Restaurant & Brew Pub,brewpub
3619,New Holland Brewing,planning
3620,New Holland Brewing Co,regional
3621,New Holland Brewing Co - Production Facility,regional
3622,New Union Brewing,micro
3623,Newaygo Brewing Co,brewpub
3624,North Center Brewing Co.,brewpub
3625,North Channel Brewing Co.,brewpub
3626,North Peak Brewing Co,brewpub
3627,North Pier Brewing,micro
3628,Northern Oak Brewery,brewpub
3629,Northville Winery and Brewery,micro
3630,Odd Side Ales,micro
3631,Odd Side Ales Production Facility,micro
3632,Old Boys Brewhouse,brewpub
3633,Old Detroit Brewing Co,planning
3634,Old Mill Brewpub and Grill,brewpub
3635,Old Nation Brewing Company,micro
3636,Old Post Brewing,planning
3637,Olde Peninsula Brewpub and Restaurant,brewpub
3638,One Well Brewing,brewpub
3639,One Well Brewing,planning
3640,OpenRoad Brewery,brewpub
3641,Oracle Brewing Company,micro
3642,Ore Dock Brewing Co,micro
3643,Original Gravity Brewing Co,brewpub
3644,Osgood Brewing,brewpub
3645,Our Brewing Co,micro
3646,Ozone's Brewhouse,micro
3647,Paddle Hard Brewing,micro
3648,Paddle Hard Brewing,brewpub
3649,Paper City Development LLC,planning
3650,Parkers Hilltop Brewery,brewpub
3651,Paw Paw Brewing Company,brewpub
3652,Paw Paw Brewing Company LLC,micro
3653,Paw Paw Brewing Company Production Facility,micro
3654,Perrin Brewing Company,regional
3655,Petoskey Brewing,micro
3656,Pigeon Hill Brewery Production Facility,planning
3657,Pigeon Hill Brewing Co,micro
3658,Pike 51 Brewing,brewpub
3659,Pileated Brewing Co,micro
3660,Pointless Brewery,micro
3661,Poison Frog Brewing Company,brewpub
3662,Presidential Brewing Co.,planning
3663,Railtown Brewing Co,micro
3664,Rare Bird Brewpub,brewpub
3665,Red Jacket Brewing at Michigan House Cafe,brewpub
3666,Redline Brewing Company,micro
3667,Redwood Brewing Co,brewpub
3668,Reed City Brewing Company,brewpub
3669,Right Brain Brewery,micro
3670,River Rouge Brewing Company,micro
3671,River's Edge Brewing Co,brewpub
3672,Roak Brewing Co.,micro
3673,Rochester Mills Beer Co,brewpub
3674,Rochester Mills Production Brewery,micro
3675,Rockford Brewing Company,brewpub
3676,Rolling Oak Brewing Co,micro
3677,Round Barn Brewery & Public House,micro
3678,Round Barn Brewery / Round Barn Winery,micro
3679,Royal Oak Brewery,brewpub
3680,Rudbeckia Farm,micro
3681,Rupert's Brew House,micro
3682,Rustic Leaf Brewing Company,micro
3683,Salt Springs Brewery,brewpub
3684,Sanctuary Spirits,micro
3685,Sandhill Crane Vineyards,micro
3686,Saugatuck Brewing Co,micro
3687,Schmohz Brewery,micro
3688,Sherwood Brewing Co,brewpub
3689,Shipwreck Brewing Company,brewpub
3690,Short's Brewing Co,brewpub
3691,Short's Brewing Co - Production Facility,regional
3692,Silver Harbor Brewing Company,brewpub
3693,Sister Lakes Brewing Company,brewpub
3694,Snowbelt Brewing Company,brewpub
3695,Soo Brewing Company,micro
3696,South Haven Brewpub,brewpub
3697,Spartan Brewpub,brewpub
3698,Speciation Artisan Ales,micro
3699,Sports Brewpub,brewpub
3700,St Ambrose Cellars,micro
3701,Starving Artist Brewing,micro
3702,Stiggs Brewery & Kitchen,brewpub
3703,Stony Lake Brewing Company,micro
3704,Stormcloud Brewing Company,brewpub
3705,Stormcloud Brewing Company Production Facility,micro
3706,Strand Brewery,brewpub
3707,Sugarfoot Saloon,brewpub
3708,Superior Coast Brewery / Karls Cuisine Winery and Brewery,brewpub
3709,Tahquamenon Falls Brewery and Pub,brewpub
3710,Tapistry Brewing Company,micro
3711,TBD,micro
3712,Tecumseh Brewing Company,brewpub
3713,Tenacity Brewing,micro
3714,Territorial Brewing Company,brewpub
3715,Territorial Brewing Company Production Facility,micro
3716,Texas Corners Brewing Company,brewpub
3717,The Boathouse Beer Co and Boozery,brewpub
3718,The Distant Whistle Brewhouse,micro
3719,The Filling Station Microbrewery,micro
3720,The Highway Brewing Co.,brewpub
3721,The Knickerbocker/ New Holland Brewing,brewpub
3722,The Livery,brewpub
3723,The Maple Grille LLC,brewpub
3724,The Mitten Brewing Co,brewpub
3725,The Mitten Brewing Company - Saugatuck,brewpub
3726,The Mitten Brewing Company Production Facility,micro
3727,The Parlor,brewpub
3728,The Red Baron,brewpub
3729,"The Sanford Beverage Company, Inc. D.B.A. Steele Street Brewing",brewpub
3730,Third Monk Brewing Co,micro
3731,Third Nature Brewing Co.,planning
3732,Thornapple Brewing Company,micro
3733,Three Blondes Brewing,brewpub
3734,Tibbs Brewing Co,brewpub
3735,Tilted Axis Brewing Company,brewpub
3736,Tootsie's Brewery / Lone Oak Vineyard,brewpub
3737,Townies Brewery,brewpub
3738,Traffic Jam and Snug,brewpub
3739,Trail Point Brewing Co.,micro
3740,Transient Artisan Ales,micro
3741,Tri City Brewing Co,micro
3742,Tripelroot,brewpub
3743,Tripelroot Production Facility,micro
3744,Tujax Tavern,brewpub
3745,Tunnel Vision Brewery,brewpub
3746,TwoGuys Brewing,brewpub
3747,UBrew Nanobrewery,micro
3748,Unruly Brewing Company,micro
3749,Upper Hand Brewery,micro
3750,Urbanrest Brewing Company,micro
3751,Vander Mill,brewpub
3752,VanMax Brewing Company LLC,micro
3753,Vierling Restaurant & Marquette Harbor Brewery,brewpub
3754,Vivio's Food,planning
3755,Walldorff Brewpub & Bistro,brewpub
3756,WAR WATER BREWERY,brewpub
3757,Watermark Brewing Company,micro
3758,Waypost Brewing Co.,planning
3759,Whiskey Point Brewing Company,planning
3760,White Flame Brewing Co,brewpub
3761,Wiltse's Brew Pub and Family Restaurant,brewpub
3762,Witch's Hat Brewing,micro
3763,Wolverine State Brewing Co,brewpub
3764,Woodward Avenue Brewers,brewpub
3765,Workshop Brewing Co,brewpub
3766,10K Brewing,micro
3767,12welve Eyes Brewing,micro
3768,14 Lakes Brewery,micro
3769,56 Brewing,micro
3770,612 Brew,micro
3771,Able Seedhouse and Brewery,micro
3772,Alloy Brewing Company,micro
3773,Angry Inch Brewing,micro
3774,Arbeiter Brewing Company,planning
3775,Ashby Brewing Company,micro
3776,August Schell Brewing Co,regional
3777,Back Channel Brewing,micro
3778,Bad Habit Brewing Company,micro
3779,Bad Weather Brewing LLC,micro
3780,Badger Hill Brewing,micro
3781,Bald Man Brewing Company,micro
3782,Bang Brewing,micro
3783,Bank Brewing Co,micro
3784,Barley Johns Brewpub,brewpub
3785,Barrel Theory Beer Company,micro
3786,Bauhaus Brew Labs,micro
3787,Beaver Island Brewing Company,micro
3788,Bemidji Brewing Company,brewpub
3789,"Bengal Brewing, LLC.",planning
3790,Bent Brewstillery,micro
3791,Bent Paddle Brewing Co,regional
3792,Big Axe Brewing Company,brewpub
3793,Big Wood Brewery,micro
3794,Big Woods Brewery,brewpub
3795,Birch's On the Lake,brewpub
3796,Blacklist Artisan Ales,micro
3797,BlackStack Brewing,micro
3798,Blue Wolf Brewing Company LLC,micro
3799,Boathouse Brewery LLC,brewpub
3800,Boathouse Brothers Brewing Co,micro
3801,Boom Island Brewing Company,micro
3802,BoomTown Brewery and Woodfire Grill,brewpub
3803,Brass Foundry Brewing Co.,micro
3804,Brau Brothers Brewing Co,micro
3805,Brew D'Etat,micro
3806,Brewery In Planning - Albert Lea,planning
3807,Brewery In Planning - Medina,planning
3808,Brewery In Planning - Saint Paul MN,planning
3809,Broken Clock Brewing Cooperative,micro
3810,Burning Brothers Brewing,micro
3811,Canal Park Brewery,brewpub
3812,Carmody Irish Pub & Brewing,brewpub
3813,Castle Danger Brewery,micro
3814,Chapel Brewing,micro
3815,Clockwerks Brewing,brewpub
3816,Copper Trail Brewing Co.,micro
3817,Cosmos Brewing,micro
3818,Cuyuna Brewing Company,micro
3819,Dangerous Man Brewing Co,micro
3820,Day Block Brewing Company,brewpub
3821,Disgruntled Brewing,micro
3822,Dual Citizen Brewing Co.,micro
3823,Dubh Linn Brew Pub,brewpub
3824,Eastlake Craft Brewery,micro
3825,Enki Brewing,micro
3826,Excelsior Brewing Co,micro
3827,Fair State Brewing Cooperative,micro
3828,Fair State Brewing Cooperative - St. Paul,micro
3829,FINNEGANS Brew Co,micro
3830,Fitgers Brewhouse,brewpub
3831,Flat Earth Brewing Co,micro
3832,Forager Brewing Company,brewpub
3833,Founding Fathers Brewing Company,contract
3834,Foxhole Brewhouse,micro
3835,F-Town Brewing Company,micro
3836,Fulton Beer,regional
3837,Fulton Beer,micro
3838,Game On Brewing,contract
3839,Garphish Brewing Company,micro
3840,GiesenbrÃ¤u Bier Co LLC,micro
3841,Gluek Beer,contract
3842,Goat Ridge Brewing,micro
3843,Good Ass Beer,contract
3844,Grand Rounds Brewing Company,brewpub
3845,Granite City Food & Brewery (#1),brewpub
3846,Granite City Food & Brewery (#10),brewpub
3847,Granite City Food & Brewery (#17),brewpub
3848,Granite City Food & Brewery (#8),brewpub
3849,Great Waters Brewing Company,brewpub
3850,"Gull Dam Brewing, Inc.",micro
3851,Gun Flint Tavern,brewpub
3852,HammerHeart Brewing Company,micro
3853,Hayes Public House,micro
3854,HeadFlyer Brewing,micro
3855,Herkimer Pub and Brewery,brewpub
3856,Hoops Brewing,micro
3857,Hunyuck Brew Co.,planning
3858,Imminent Brewing,micro
3859,Inbound Brewco,micro
3860,Indeed Brewing Co,regional
3861,Insight Brewing Company,micro
3862,Invictus Brewing Co,planning
3863,Invictus Brewing Co.,brewpub
3864,Island City Brewing Company,micro
3865,Jack Pine Brewery,micro
3866,Joseph Wolf Brewing Company,contract
3867,Junkyard Brewing Company,micro
3868,Karst Brewing LLC,micro
3869,Kinney Creek Brewery,micro
3870,Klockow Brewing Company,micro
3871,La Dona Cerveceria,planning
3872,Lake Monster Brewing,micro
3873,Lake of the Woods Brewing Company,planning
3874,Lake Superior Brewing Co,micro
3875,Lakes & Legends Brewing Company,micro
3876,"Lakeville Brewing Co., LLC",brewpub
3877,Lazy Loon Brewing Co,micro
3878,Lift Bridge Brewery,micro
3879,Little Thistle Brewing,planning
3880,Loony's Brew,brewpub
3881,LTD Brewery,micro
3882,LTS Brewing Company,micro
3883,LuPine Brewing Co,micro
3884,Lupulin Brewing,micro
3885,LynLake Brewery,micro
3886,Mankato Brewery,micro
3887,Mantorville Brewing Co LLC,contract
3888,Maple Island Brewing,micro
3889,Minneapolis Town Hall Brewery,brewpub
3890,Modist Brewing Company,micro
3891,Montgomery Brewing Company,micro
3892,Moose Lake Brewing Company,micro
3893,Northbound Smokehouse Brewpub,brewpub
3894,Nutmeg Brewhouse,brewpub
3895,Olvalde Farm & Brewing,micro
3896,OMNI Brewing Company,micro
3897,Oswald Brewing Company,brewpub
3898,Outstate Brewing Company LLC,planning
3899,Pantown Brewing Company,planning
3900,Pigs Eye Pub,proprietor
3901,Portage Brewing Company,micro
3902,Pryes Brewing Company,micro
3903,Rahr Technical Center LLC,micro
3904,Reads Landing Brewing Co,brewpub
3905,Red Wing Brewing Company,brewpub
3906,Revelation Ale Works,micro
3907,Rock Bottom Brewery - Minneapolis,brewpub
3908,Roets Jordan Brewery Co.,brewpub
3909,Roma Brewery,brewpub
3910,Roundhouse Brewery,micro
3911,Saint Croix Beer Co. DBA Saint Croix Brewing Co.,contract
3912,Schram Vineyards Winery & Brewery,micro
3913,Shakopee Brewhall,micro
3914,Sisyphus Brewing,micro
3915,Sociable Cider Werks,micro
3916,Spilled Grain Brewhouse,micro
3917,Spiral Brewery,micro
3918,Stacked Deck Brewing,planning
3919,Starry Eyed Brewing Company,micro
3920,Steel Toe Brewing,micro
3921,Summit Brewing Co,regional
3922,Surly Brewing Company,regional
3923,Surly Brewing Company,regional
3924,Take 16 Brewing Company,micro
3925,Talking Waters Brewing Co.,micro
3926,Tanzenwald Brewing Company,brewpub
3927,Tavern Brewery,brewpub
3928,The Freehouse,brewpub
3929,Third Street Brewhouse,regional
3930,Three Twenty Brewing Co.,micro
3931,Tin Whiskers Brewing,micro
3932,Torg Brewery,planning
3933,Twelve Down Brewing,planning
3934,"U4ic Brewing, Inc.",micro
3935,Under Pressure Brewing Company,planning
3936,Union 32 Crafthouse,micro
3937,Union Pizza & Brewing Co,brewpub
3938,Unmapped Brewing Co.,micro
3939,Urban Growler Brewing Co,brewpub
3940,Urban Lodge Brewery,brewpub
3941,Ursa Minor Brewing,planning
3942,Utepils Brewing Co,micro
3943,Venn Brewing Company,micro
3944,Vine Park Brewing Co,micro
3945,Voyageur Brewing Co,brewpub
3946,Wabasha Brewing Company,micro
3947,Waconia Brewing Company,micro
3948,Waldmann Brewery & Wurstery,brewpub
3949,Ward House Brewery,micro
3950,"Wayzata Brew Works, LLC",micro
3951,"Wayzata Brew Works, LLC.",proprietor
3952,Wicked Wort Brewing Company,brewpub
3953,Wild Mind Artisan Ales,micro
3954,Wooden Hill Brewing Company,brewpub
3955,1817 Brewery,micro
3956,Biloxi Brewing Co,micro
3957,Chandeleur Island Brewing Company,micro
3958,Colludium Brewery,planning
3959,Crooked Letter Brewing Co,brewpub
3960,Hops and Growlers,micro
3961,Key City Brewing Co.,brewpub
3962,"Lazy Magnolia Brewing Co, LLC",micro
3963,Lucky Town Brewing Co,micro
3964,Mayhew Junction Brewing Company,micro
3965,Mighty Miss Brewing Co.,micro
3966,Natchez Brewing Co,micro
3967,Slowboat Brewing Company,micro
3968,Southern Prohibition Brewing,micro
3969,"Threefoot Brewing Company, LLC",contract
3970,Yalobusha Brewing Company,micro
3971,2nd Shift Brewing Co,brewpub
3972,4 By 4 Brewing Company,micro
3973,4 Hands Brewing Co,regional
3974,Alpha Brewing Co.,micro
3975,Amerisports Brew Pub,brewpub
3976,Anheuser-Busch InBev,large
3977,Apex Brew And BBQ Supplies,planning
3978,Arcadian Moon,brewpub
3979,Augusta Brewing Co,brewpub
3980,"Bard's Brewery, LLC",proprietor
3981,Bastard Brothers Brewing Company,micro
3982,Big Rip Brewing Company,micro
3983,BKS Artisan Ales,micro
3984,Boat Town Brewing,micro
3985,Border Brewing Company,micro
3986,Boulevard Brewing Co,regional
3987,Brew Hub Taproom,brewpub
3988,Brewery Emperial,brewpub
3989,Brewery in Planning - Kansas City,planning
3990,"Brewery in Planning - Kansas city, MO",planning
3991,Brewery In Planning - Lees Summit,planning
3992,Brewery in Planning - Saint Louis,planning
3993,Broadway Brewery,brewpub
3994,Bronze Owl Brewing,brewpub
3995,Bur Oak Company,micro
3996,Calibration Brewery,brewpub
3997,Casual Animal,micro
3998,Cathedral Square Brewery,contract
3999,Center Ice Brewing Company,micro
4000,Charleville Vineyard & Microbrewery,micro
4001,"Charlie's Steak, Ribs & Ale",brewpub
4002,Cinder Block Brewery,brewpub
4003,City Barrel Brewing Co,planning
4004,Civil Life Brewing Company,brewpub
4005,Crane Brewing Company,micro
4006,Crown Valley Brewing & Distilling Co,micro
4007,Deep Sleep Brewing Company LLC,micro
4008,Deslogetown Brewery,brewpub
4009,Double Shift Brewing,micro
4010,Dubious Claims Brewing,brewpub
4011,Earthbound Beer,brewpub
4012,East Forty Brewing,planning
4013,Exit 6 Brewery,micro
4014,Ferguson Brewing Co,brewpub
4015,Flat Branch Pub and Brewing,brewpub
4016,Friendship Brewing Company,brewpub
4017,Fringe Beerworks,micro
4018,Good News Brewing Company,brewpub
4019,Granite City Food & Brewery (#11),brewpub
4020,Granite City Food & Brewery (#29),brewpub
4021,Green Room Burgers & Beer,brewpub
4022,Greer Brewing,brewpub
4023,Griesedieck Brothers Brewery,contract
4024,Gruhlke's Microbrewery / Bias Vineyards,brewpub
4025,Heavy Riff Brewing,brewpub
4026,High Heel Brewing,micro
4027,Indian Springs Brewing Company,proprietor
4028,Jackson Street Brew Co.,brewpub
4029,Kansas City Bier Company,micro
4030,Kirkwood Station Brewing,brewpub
4031,"Lake Bums BrewCo, LLC.",micro
4032,Levi Garrison & Sons Brewing Company,micro
4033,Logboat Brewing Co,micro
4034,Lost Signal Brewing Company,brewpub
4035,Mackenzie Brewing Company,planning
4036,Main And Mill Brewing Company,brewpub
4037,Mark Twain Brewing Company,brewpub
4038,Martin City Brewing Company,micro
4039,McCoy's Public House,brewpub
4040,Miami Creek Brewing Company,micro
4041,Minglewood Brewery,brewpub
4042,Missouri Beer Company,micro
4043,Modern Brewery,micro
4044,Morgan Street Brewery,proprietor
4045,Mother's Brewing Co,micro
4046,Narrow Gauge Brewing Company,brewpub
4047,O'Fallon Brewery,micro
4048,Outlaw Cigar / Gunslinger Saloon Brewing,planning
4049,Ozarks Brewing Company,brewpub
4050,Perennial Artisan Ales,micro
4051,Piney River Brewing Company,micro
4052,Point Labaddie Brewery,micro
4053,Prehistoric Brewing Company,planning
4054,Prison Brews,brewpub
4055,Propagation LLC,planning
4056,Public House Brewing Co,micro
4057,Public House Brewing Company,micro
4058,Pursuit Brewing & Blending,planning
4059,River Bluff Brewing,planning
4060,Rock & Run Brewery,brewpub
4061,Rockwell Beer Company,planning
4062,"Schlafly Beer/The Saint Louis Brewery, LLC",regional
4063,Schlafly Bottleworks,regional
4064,Side Project Brewing,micro
4065,Six Mile Bridge Brewery,micro
4066,Smoke Brewing Company,brewpub
4067,Southern Heritage Brewing Company,planning
4068,Springfield Brewing Co,brewpub
4069,Square One Brewery and Distillery,brewpub
4070,Steampunk Brew Works,micro
4071,Stockyards Brewing Company,micro
4072,Strange Days Brewing Co,micro
4073,Strange Days Brewing Company,micro
4074,Third Wheel Brewing,brewpub
4075,Tie and Timber Beer Company,micro
4076,Tin Mill Brewing Co,brewpub
4077,Torn Label Brewing Company,micro
4078,Trailhead Brewing Co,brewpub
4079,Uranus Brewery,planning
4080,Urban Chestnut Brewing Co,regional
4081,Wages Brewing Company,micro
4082,Wellspent Brewing Company,micro
4083,"Welpman Springs Brewing Company, LLC.",micro
4084,Weston Brewing Co / O'Malley's Pub,micro
4085,White River Brewing Co,micro
4086,Wild Water,micro
4087,William K Busch Brewing Co.,contract
4088,2 Basset Brewery,micro
4089,380 Brewing Company,planning
4090,406 Brewing Company,micro
4091,Angry Hank's Microbrewery,micro
4092,Backslope Brewing,brewpub
4093,Bandit Brewing Co,micro
4094,Bar 3 BBQ and Brewing,brewpub
4095,Bayern Brewing Inc.,micro
4096,Beaver Creek Brewery,micro
4097,Beaverhead Brewing Co,micro
4098,Beehive Basin Brewery,micro
4099,Bias Brewing,micro
4100,Big Sky Brewing Co,regional
4101,Bitter Root Brewing Co,micro
4102,Black Eagle Brewery,micro
4103,Blackfoot River Brewing Co,micro
4104,Blacksmith Brewing Co,micro
4105,BLUE RIDGE BREWING,planning
4106,Bonsai Brewing Project,brewpub
4107,Bozeman Brewing Co,micro
4108,Brewery in Planning - Helena,planning
4109,Brewing Academy Of Montana At FVCC,planning
4110,Bridger Brewing Company,brewpub
4111,Brother Joseph's Brewing Company,planning
4112,Busted Knuckle Brewery,micro
4113,Butte Brewing Co,micro
4114,Cabinet Mountain Brewing Co,brewpub
4115,Canyon Creek Brewing,micro
4116,Carters Brewing,micro
4117,Conflux Brewing,planning
4118,Crooked Furrow Brewing,micro
4119,Cross Country Brewing,micro
4120,Cut Bank Creek Brewery,micro
4121,Dog Tag Brewing,contract
4122,Draught Works Brewing,micro
4123,Elk Ridge Brewing Company,micro
4124,Flathead Lake Brewing Co,micro
4125,Flathead Lake Brewing Co - Production Only,micro
4126,Gally's Brewing Co,micro
4127,Game Bag Brewing,planning
4128,GILD BREWING,planning
4129,Glacier Brewing Co,micro
4130,Great Burn Brewing,micro
4131,Great Northern Brewing Co,micro
4132,H.A. Brewing Co,brewpub
4133,Harvest Moon Brewing,micro
4134,High Plains Brewing,micro
4135,Higherground Brewing Co,brewpub
4136,Imagine Nation Brewing,micro
4137,Jeremiah Johnson Brewing Company,brewpub
4138,Julius Lehrkind Brewing,micro
4139,Kalispell Brewing Co,micro
4140,Katabatic Brewing Co,micro
4141,Kettle House Brewing Co.,regional
4142,Kettlehouse Brewing Co - Bonner Brewery,micro
4143,Kettlehouse Brewing Co - Southside,micro
4144,Lewis & Clark Brewing Co,micro
4145,Lewistown Brewing Co,planning
4146,Lolo Peak Brewing Company,micro
4147,Lone Peak Brewery,brewpub
4148,Madison River Brewing Co,micro
4149,MAP Brewing Company,brewpub
4150,Meadowlark Brewing,brewpub
4151,Mighty Mo Brew Co,brewpub
4152,Missoula Brewing Company,brewpub
4153,Missouri Breaks Brewing,micro
4154,Montana Brewing Co,brewpub
4155,Montucky Cold Snacks,contract
4156,Mountains Walking,brewpub
4157,Muddy Creek Brewery,micro
4158,"Neptunes Brewery, LLC",micro
4159,OddPitch Brewing Co.,planning
4160,Old Station Brewing Co,micro
4161,Outlaw Brewing Co,micro
4162,Philipsburg Brewing Co,micro
4163,Philipsburg Brewing Co,micro
4164,Quarry Brewing,micro
4165,Red Lodge Ales Brewing Co,micro
4166,Ruby Valley Brew,micro
4167,Sacred Waters Brewing Company,planning
4168,Smelter City Brewing,micro
4169,Snow Hop Brewery,micro
4170,SunRift Beer Company,micro
4171,Tamarack Brewing Co,micro
4172,Ten Mile Creek Brewery,micro
4173,The Bunkhouse Brewery,micro
4174,Thirsty Street Brewing,brewpub
4175,Tilt Wurks Brewhouse & Casino,micro
4176,Triple Dog Brewing Company,micro
4177,Uberbrew,brewpub
4178,"Westslope Brewing, LLC",planning
4179,White Dog Brewing Company,micro
4180,Wildwood Brewing Co,micro
4181,Yellowstone Valley Brewing Co.,micro
4182,Backswing Brewing Co.,micro
4183,Barley Boys Brewery,planning
4184,Benson Brewery,brewpub
4185,Blue Blood Brewing Company,brewpub
4186,Boiler Brewing Company,micro
4187,Bolo Beer Co,micro
4188,Bootleg Brewers - Sandhills Brewing Company,brewpub
4189,Bottle Rocket Brewing Co,micro
4190,Brewery 719,planning
4191,Brewery In Planning - Omaha,planning
4192,Brickway Brewery and Distillery,micro
4193,Brush Creek Brewing Company,brewpub
4194,Code Beer Co.,micro
4195,Cosmic Eye Brewing,planning
4196,Divots Brewery,brewpub
4197,Empyrean Brewing Co,micro
4198,Fairfield Opera House Brewery,brewpub
4199,Farnam House Brewing Company,brewpub
4200,First Street Brewing,micro
4201,Flyover Brewing Co,planning
4202,Gottberg Brew Pub,brewpub
4203,Granite City Food & Brewery (#16),brewpub
4204,Granite City Food & Brewery (#7),brewpub
4205,Green Flash Brewing Co,brewpub
4206,Hanging Horseshoe Brewing Company,micro
4207,Infusion Brewing Company,micro
4208,Infusion Brewing Company,micro
4209,Jaipur Restaurant and Brewpub,brewpub
4210,JGR Enterprises Inc,planning
4211,Johnnie Byrd Brewing Company,micro
4212,Jukes Ale Works LLC,planning
4213,Kinkaider Brewing Co,micro
4214,Kros Strain Brewing Company,micro
4215,Lazlo's Brewery & Grill - Haymarket,brewpub
4216,Lazy Horse Brewing,brewpub
4217,Loop Brewing Co,brewpub
4218,Lost Way Brewery,micro
4219,Lucky Bucket Brewing Co,micro
4220,Midwest Hop Producers LLC,planning
4221,Nebraska Brewing Co - La Vista,micro
4222,Nebraska Brewing Co - Papillion,brewpub
4223,Pals Brewing Company,brewpub
4224,Pint Nine Brewing Company,micro
4225,Prairie Pride Brewery,micro
4226,Red Iron Brewing Company,planning
4227,SchillingBridge Winery & Microbrewery,brewpub
4228,Scratchtown Brewing Company,micro
4229,Scriptown Brewing Company,micro
4230,Soaring Wings Brewing,micro
4231,Steeple Brewing Co,micro
4232,Thunderhead Brewing Co,brewpub
4233,Upstream Brewing Co (#1),brewpub
4234,Vis Major Brewing Co,brewpub
4235,White Elm Brewing Co,micro
4236,Zipline Brewing Co,micro
4237,10 Torr Distilling and Brewing,micro
4238,Able Baker Brewing,micro
4239,Alibi Ale Works,micro
4240,Astronomy Aleworks,planning
4241,Bad Beat Brewing,micro
4242,Banger Brewing Co,micro
4243,Barley's Casino and Brewing Co,brewpub
4244,Battle BornÂ® Beer,contract
4245,Big Dog's Brewing Co,brewpub
4246,BJs Restaurant & Brewery - Reno,brewpub
4247,Boulder Dam Brewing Company,brewpub
4248,Brasserie Saint James,brewpub
4249,Brasserie Saint James - The Saint Barrelhouse,micro
4250,Brewery In Planning - Las Vegas,planning
4251,"Brewery in Planning - Las Vegas, NV",planning
4252,Chicago Brewing Co - NV,brewpub
4253,CraftHaus Brewery,micro
4254,Ellis Island Casino and Brewery,brewpub
4255,Gordon Biersch Brewery Restaurant - Las Vegas,brewpub
4256,Great Basin Brewing Co,brewpub
4257,Great Basin Brewing Co,brewpub
4258,Great Basin Brewing Co - Production Facility,micro
4259,Hop Nuts Brewing,micro
4260,IMBIB Custom Brews,micro
4261,Immortal Brewing Company,planning
4262,"Joseph James Brewing Co, Inc",micro
4263,Lead Dog Brewing,micro
4264,Little Vixen Brewing,planning
4265,Lovelady Brewing Company,micro
4266,Matties,bar
4267,Nevadan Brewing Company,planning
4268,Occidental Brewing,brewpub
4269,Pigeon Head Brewery,micro
4270,Pints Brewery and Sports Bar,brewpub
4271,PT's Brewing Co.,micro
4272,Reno Brewery,planning
4273,Revision Brewing Company,micro
4274,Ruby Mountain Brewing Co,micro
4275,Shoe Tree Brewing Co.,micro
4276,Silver Peak Restaurant and Brewery,brewpub
4277,Sin City Beer Co,contract
4278,StoneyHead Brewing LLC,micro
4279,Tenaya Creek Brewery,micro
4280,The Brew Brothers/Eldorado Hotel and Casino,brewpub
4281,The Brewer's Cabinet,micro
4282,The Depot Craft Brewery Distillery,brewpub
4283,The Fox Brewpub,brewpub
4284,Tonopah Brewing Co,brewpub
4285,Triple 7 Restaurant & Brewery at Main St Station,brewpub
4286,Two Bald Guys Beverage Co,contract
4287,Under the Rose Brewing Company,micro
4288,Under the Rose Brewing Company MidTown Location,brewpub
4289,Virginia City Brewery & Taphouse,brewpub
4290,603 Brewery,micro
4291,7th Settlement Brewery,brewpub
4292,Able Ebenezer Brewing Company,micro
4293,Aigean Ales,micro
4294,Anheuser-Busch Inc â Merrimack,large
4295,Appalachian Mountain Brewery - Portsmouth,micro
4296,Ashuelot Brewing Company,micro
4297,Backyard Brewery,brewpub
4298,Bad Lab Beer Co.,brewpub
4299,Beara Brewing Co.,micro
4300,Belgian Mare Brewery,micro
4301,Big Water Brewery,micro
4302,Blasty Bough Brewing Company,micro
4303,Border Brewery/Border Brew Supply,micro
4304,"Brewery in Planning - Portsmouth, NH",planning
4305,Burnt Timber Brewing,brewpub
4306,Candia Road Brewing / Nepenthe Ale House,micro
4307,Canterbury Aleworks,micro
4308,Concord Craft Brewery,micro
4309,Deciduous Brewing Company,micro
